video_id	caption	start	end	duration	phase	idx
v_QOlSCBRmfWY	A young woman is seen standing in a room and leads into her dancing	0.83	19.86	82.73	train	0
v_QOlSCBRmfWY	The girl dances around the room while the camera captures her movements	17.37	60.81	82.73	train	1
v_QOlSCBRmfWY	She continues dancing around the room and ends by laying on the floor	56.26	79.42	82.73	train	2
v_ehGHCYKzyZ8	The video starts with a title logo sequence	0.0	2.78	61.72	train	3
v_ehGHCYKzyZ8	A man and woman are in a living room demonstrating exercises	3.09	61.72	61.72	train	4
v_ehGHCYKzyZ8	The woman lays on the ground	15.43	55.24	61.72	train	5
v_ehGHCYKzyZ8	The man starts pointing to different areas of the woman's body as she does an exercise	17.59	54.0	61.72	train	6
v_ehGHCYKzyZ8	The woman begins to do small sit ups	39.81	54.62	61.72	train	7
v_ehGHCYKzyZ8	The woman ends with a final title logo sequence	56.47	61.72	61.72	train	8
v_nwznKOuZM7w	Two people are seen moving around a kitchen quickly performing various tasks and sitting down	0.0	15.51	31.65	train	9
v_nwznKOuZM7w	They then wax down a ski in the kitchen while continuing to move around	11.39	31.65	31.65	train	10
v_ogQozSI5V8U	We see a hallway with a wooden floor	0.0	7.49	36.55	train	11
v_ogQozSI5V8U	A dog in socks walks slowly out onto the floor as a lady films him	7.49	18.09	36.55	train	12
v_ogQozSI5V8U	The dog turns around and goes back to the other room	19.37	36.55	36.55	train	13
v_69IsHpmRyfk	A young girl is seen sitting in a chair with a person standing next to her	1.89	31.26	94.72	train	18
v_69IsHpmRyfk	The person next to her then piercing one ear followed by the other	29.36	71.51	94.72	train	19
v_69IsHpmRyfk	The person rubs lotion on the piercings afterwards	55.41	91.4	94.72	train	20
v_D18b2IZpxk0	A woman is shown riding a camel past pyramids in Egypt	0.0	17.7	95.67	train	21
v_D18b2IZpxk0	The camel walks as the woman leans forward	19.61	88.01	95.67	train	22
v_D18b2IZpxk0	And hand covers the lens as the harness is shown	90.88	95.67	95.67	train	23
v_IoiDAHNryTk	A girl is seen climbing across a set of monkey bars followed by her waving to the camera	0.0	19.29	47.04	train	46
v_IoiDAHNryTk	She climbs her way back on the bars and jumps down mid way through	19.99	47.04	47.04	train	47
v__yWADgOFxP0	A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain	0.0	75.09	238.38	train	48
v__yWADgOFxP0	The man zooms in on himself riding down the hill and ends with him turning off the camera	75.09	238.38	238.38	train	49
v_E3QtX6r9QX0	A large pile of leaves are seen being blown around with shots of a blower being shown	0.0	36.18	103.37	train	59
v_E3QtX6r9QX0	the leaves continue to be shown blowing around as well as a machine sitting off in the distance	19.12	103.37	103.37	train	60
v_zihMznAYlV0	Two men in padded sumo costumes are pulled along a tug rope on a ski slope	1.46	4.73	72.8	train	75
v_zihMznAYlV0	Two men in yellow padded sumo costumes do jumps on their snowboard on a downhill course	6.19	72.8	72.8	train	76
v_zihMznAYlV0	A filmer waives to the camera	38.95	40.4	72.8	train	77
v_zihMznAYlV0	The man spins while sliding across a platform in the sumo suit	43.68	51.32	72.8	train	78
v_zihMznAYlV0	The two men give each other a high five	51.32	53.14	72.8	train	79
v_zihMznAYlV0	The man in sumo suit goes over a small triangular obstacle	56.05	58.6	72.8	train	80
v_zihMznAYlV0	A man on small skis crashes while trying to jump	58.6	61.15	72.8	train	81
v_zihMznAYlV0	The man jumps onto and slide across a platform while wearing a sumo suit	61.51	65.88	72.8	train	82
v_zihMznAYlV0	The man bounces over a low railing	66.24	67.34	72.8	train	83
v_GFE2wAi9fjo	A woman puts a pair of shoes on while sitting in an office chair	0.0	17.15	17.15	train	91
v_GFE2wAi9fjo	The woman buckles her shoes	6.6	17.15	17.15	train	92
v_V_Nj_BhesEY	Three people stand by the corner of a building	0.0	13.72	83.15	train	100
v_V_Nj_BhesEY	One of the persons, a young boy, takes a bow	14.14	17.05	83.15	train	101
v_V_Nj_BhesEY	A crowd of people watch him	0.0	83.15	83.15	train	102
